Concurent{id='421', punctaj=77}
Concurent{id='474', punctaj=77}
Concurent{id='386', punctaj=74}
Concurent{id='42', punctaj=74}
Concurent{id='335', punctaj=72}
Concurent{id='341', punctaj=72}
Concurent{id='226', punctaj=71}
Concurent{id='188', punctaj=70}
Concurent{id='382', punctaj=70}
Concurent{id='34', punctaj=69}
Concurent{id='449', punctaj=68}
Concurent{id='70', punctaj=68}
Concurent{id='127', punctaj=67}
Concurent{id='198', punctaj=67}
Concurent{id='221', punctaj=67}
Concurent{id='227', punctaj=67}
Concurent{id='355', punctaj=67}
Concurent{id='441', punctaj=67}
Concurent{id='129', punctaj=66}
Concurent{id='199', punctaj=66}
Concurent{id='202', punctaj=66}
Concurent{id='206', punctaj=66}
Concurent{id='334', punctaj=66}
Concurent{id='458', punctaj=66}
Concurent{id='177', punctaj=65}
Concurent{id='232', punctaj=65}
Concurent{id='265', punctaj=65}
Concurent{id='407', punctaj=65}
Concurent{id='462', punctaj=65}
Concurent{id='58', punctaj=65}
Concurent{id='110', punctaj=64}
Concurent{id='220', punctaj=64}
Concurent{id='264', punctaj=64}
Concurent{id='31', punctaj=64}
Concurent{id='317', punctaj=64}
Concurent{id='418', punctaj=64}
Concurent{id='450', punctaj=64}
Concurent{id='470', punctaj=64}
Concurent{id='93', punctaj=64}
Concurent{id='10', punctaj=63}
Concurent{id='185', punctaj=63}
Concurent{id='19', punctaj=63}
Concurent{id='346', punctaj=63}
Concurent{id='369', punctaj=63}
Concurent{id='420', punctaj=63}
Concurent{id='57', punctaj=63}
Concurent{id='122', punctaj=62}
Concurent{id='169', punctaj=62}
Concurent{id='181', punctaj=62}
Concurent{id='238', punctaj=62}
Concurent{id='242', punctaj=62}
Concurent{id='254', punctaj=62}
Concurent{id='270', punctaj=62}
Concurent{id='297', punctaj=62}
Concurent{id='329', punctaj=62}
Concurent{id='33', punctaj=62}
Concurent{id='332', punctaj=62}
Concurent{id='343', punctaj=62}
Concurent{id='463', punctaj=62}
Concurent{id='71', punctaj=62}
Concurent{id='94', punctaj=62}
Concurent{id='117', punctaj=61}
Concurent{id='203', punctaj=61}
Concurent{id='204', punctaj=61}
Concurent{id='250', punctaj=61}
Concurent{id='350', punctaj=61}
Concurent{id='359', punctaj=61}
Concurent{id='416', punctaj=61}
Concurent{id='435', punctaj=61}
Concurent{id='452', punctaj=61}
Concurent{id='55', punctaj=61}
Concurent{id='68', punctaj=61}
Concurent{id='84', punctaj=61}
Concurent{id='113', punctaj=60}
Concurent{id='144', punctaj=60}
Concurent{id='158', punctaj=60}
Concurent{id='211', punctaj=60}
Concurent{id='296', punctaj=60}
Concurent{id='318', punctaj=60}
Concurent{id='323', punctaj=60}
Concurent{id='461', punctaj=60}
Concurent{id='466', punctaj=60}
Concurent{id='50', punctaj=60}
Concurent{id='51', punctaj=60}
Concurent{id='97', punctaj=60}
Concurent{id='1', punctaj=59}
Concurent{id='182', punctaj=59}
Concurent{id='247', punctaj=59}
Concurent{id='311', punctaj=59}
Concurent{id='326', punctaj=59}
Concurent{id='381', punctaj=59}
Concurent{id='422', punctaj=59}
Concurent{id='447', punctaj=59}
Concurent{id='8', punctaj=59}
Concurent{id='156', punctaj=58}
Concurent{id='16', punctaj=58}
Concurent{id='164', punctaj=58}
Concurent{id='167', punctaj=58}
Concurent{id='233', punctaj=58}
Concurent{id='244', punctaj=58}
Concurent{id='267', punctaj=58}
Concurent{id='276', punctaj=58}
Concurent{id='333', punctaj=58}
Concurent{id='357', punctaj=58}
Concurent{id='40', punctaj=58}
Concurent{id='431', punctaj=58}
Concurent{id='468', punctaj=58}
Concurent{id='64', punctaj=58}
Concurent{id='66', punctaj=58}
Concurent{id='112', punctaj=57}
Concurent{id='130', punctaj=57}
Concurent{id='20', punctaj=57}
Concurent{id='24', punctaj=57}
Concurent{id='284', punctaj=57}
Concurent{id='35', punctaj=57}
Concurent{id='358', punctaj=57}
Concurent{id='361', punctaj=57}
Concurent{id='366', punctaj=57}
Concurent{id='85', punctaj=57}
Concurent{id='91', punctaj=57}
Concurent{id='119', punctaj=56}
Concurent{id='142', punctaj=56}
Concurent{id='166', punctaj=56}
Concurent{id='168', punctaj=56}
Concurent{id='225', punctaj=56}
Concurent{id='230', punctaj=56}
Concurent{id='257', punctaj=56}
Concurent{id='383', punctaj=56}
Concurent{id='387', punctaj=56}
Concurent{id='395', punctaj=56}
Concurent{id='400', punctaj=56}
Concurent{id='423', punctaj=56}
Concurent{id='440', punctaj=56}
Concurent{id='443', punctaj=56}
Concurent{id='455', punctaj=56}
Concurent{id='92', punctaj=56}
Concurent{id='99', punctaj=56}
Concurent{id='138', punctaj=55}
Concurent{id='147', punctaj=55}
Concurent{id='155', punctaj=55}
Concurent{id='178', punctaj=55}
Concurent{id='180', punctaj=55}
Concurent{id='193', punctaj=55}
Concurent{id='245', punctaj=55}
Concurent{id='269', punctaj=55}
Concurent{id='310', punctaj=55}
Concurent{id='353', punctaj=55}
Concurent{id='368', punctaj=55}
Concurent{id='163', punctaj=54}
Concurent{id='173', punctaj=54}
Concurent{id='187', punctaj=54}
Concurent{id='239', punctaj=54}
Concurent{id='251', punctaj=54}
Concurent{id='255', punctaj=54}
Concurent{id='336', punctaj=54}
Concurent{id='338', punctaj=54}
Concurent{id='356', punctaj=54}
Concurent{id='367', punctaj=54}
Concurent{id='370', punctaj=54}
Concurent{id='393', punctaj=54}
Concurent{id='473', punctaj=54}
Concurent{id='86', punctaj=54}
Concurent{id='90', punctaj=54}
Concurent{id='118', punctaj=53}
Concurent{id='174', punctaj=53}
Concurent{id='212', punctaj=53}
Concurent{id='222', punctaj=53}
Concurent{id='236', punctaj=53}
Concurent{id='243', punctaj=53}
Concurent{id='253', punctaj=53}
Concurent{id='258', punctaj=53}
Concurent{id='275', punctaj=53}
