Concurent{id='42', punctaj=74}
Concurent{id='226', punctaj=71}
Concurent{id='188', punctaj=70}
Concurent{id='34', punctaj=69}
Concurent{id='70', punctaj=68}
Concurent{id='198', punctaj=67}
Concurent{id='221', punctaj=67}
Concurent{id='227', punctaj=67}
Concurent{id='199', punctaj=66}
Concurent{id='202', punctaj=66}
Concurent{id='206', punctaj=66}
Concurent{id='232', punctaj=65}
Concurent{id='265', punctaj=65}
Concurent{id='58', punctaj=65}
Concurent{id='220', punctaj=64}
Concurent{id='264', punctaj=64}
Concurent{id='31', punctaj=64}
Concurent{id='317', punctaj=64}
Concurent{id='93', punctaj=64}
Concurent{id='10', punctaj=63}
Concurent{id='19', punctaj=63}
Concurent{id='57', punctaj=63}
Concurent{id='238', punctaj=62}
Concurent{id='242', punctaj=62}
Concurent{id='254', punctaj=62}
Concurent{id='297', punctaj=62}
Concurent{id='329', punctaj=62}
Concurent{id='33', punctaj=62}
Concurent{id='332', punctaj=62}
Concurent{id='71', punctaj=62}
Concurent{id='203', punctaj=61}
Concurent{id='204', punctaj=61}
Concurent{id='250', punctaj=61}
Concurent{id='55', punctaj=61}
Concurent{id='68', punctaj=61}
Concurent{id='84', punctaj=61}
Concurent{id='211', punctaj=60}
Concurent{id='296', punctaj=60}
Concurent{id='318', punctaj=60}
Concurent{id='323', punctaj=60}
Concurent{id='50', punctaj=60}
Concurent{id='51', punctaj=60}
Concurent{id='1', punctaj=59}
Concurent{id='247', punctaj=59}
Concurent{id='311', punctaj=59}
Concurent{id='326', punctaj=59}
Concurent{id='8', punctaj=59}
Concurent{id='16', punctaj=58}
Concurent{id='233', punctaj=58}
Concurent{id='244', punctaj=58}
Concurent{id='267', punctaj=58}
Concurent{id='40', punctaj=58}
Concurent{id='64', punctaj=58}
Concurent{id='66', punctaj=58}
Concurent{id='20', punctaj=57}
Concurent{id='24', punctaj=57}
Concurent{id='35', punctaj=57}
Concurent{id='85', punctaj=57}
Concurent{id='91', punctaj=57}
Concurent{id='225', punctaj=56}
Concurent{id='230', punctaj=56}
Concurent{id='257', punctaj=56}
Concurent{id='92', punctaj=56}
Concurent{id='193', punctaj=55}
Concurent{id='245', punctaj=55}
Concurent{id='310', punctaj=55}
Concurent{id='187', punctaj=54}
Concurent{id='239', punctaj=54}
Concurent{id='251', punctaj=54}
Concurent{id='255', punctaj=54}
Concurent{id='86', punctaj=54}
Concurent{id='90', punctaj=54}
Concurent{id='212', punctaj=53}
Concurent{id='222', punctaj=53}
Concurent{id='236', punctaj=53}
Concurent{id='243', punctaj=53}
Concurent{id='253', punctaj=53}
Concurent{id='258', punctaj=53}
Concurent{id='322', punctaj=53}
